Molecule,BasisSet,Energy
CrCO6,cc-pvdz,-1717.242220262564
H2O,def2-tzvp,-75.900790282695
CrCO6,def2-svp,-1716.54415823166
CO2,def2-tzvp,-187.272527076089
CO2,zora-def2-svp,-187.030757059055
H2O,pc-1,-75.845979035325
CH3BH2,def2-svp,-65.176979575468
PH2OH,pc-3,-416.628840010401
CO2,cc-pvtz,-187.265300478725
PH2OH,cc-pvdz,-416.540384058829
CO2,pc-3,-187.286559615651
PH2OH,cc-pcv5z,-416.630785107931
CrCO6,cc-pv5z,-1717.568668196076
CO2,cc-pcvqz,-187.28328616391
CO2,cc-pv5z,-187.285899928282
H2O,cc-pcvqz,-75.909127864774
CO2,pc-2,-187.273496819361
CO2,def2-svp,-187.04703068654
CH3BH2,pc-4,-65.260955681356
CH3BH2,zora-def2-qzvpp,-65.260055918429
PH2OH,cc-pcvdz,-416.550745239113
CH3BH2,pc-1,-65.215131979168
CrCO6,def2-tzvp,-1717.487725263825
H2O,cc-pvtz,-75.898354445998
H2O,zora-def2-tzvp,-75.901797275055
CO2,cc-pcv5z,-187.286550124074
H2O,zora-def2-svp,-75.792219875257
CO2,zora-def2-tzvp,-187.27517455769
H2O,def2-svp,-75.795180006779
H2O,pc-4,-75.913344516274
CrCO6,pc-2,-1717.522790242265
CrCO6,zora-def2-svp,-1716.366432012937
CH3BH2,cc-pcv5z,-65.260851067166
PH2OH,cc-pcvtz,-416.615529090365
CH3BH2,def2-qzvpp,-65.260043712914
PH2OH,def2-qzvpp,-416.629001498679
CrCO6,pc-1,-1717.060791624203
PH2OH,cc-pvqz,-416.617283686921
H2O,cc-pv5z,-75.91230014165
CrCO6,zora-def2-tzvp,-1717.4283606447
CH3BH2,cc-pvtz,-65.253856940941
CrCO6,cc-pvqz,-1717.547510107941
CrCO6,cc-pcv5z,
CH3BH2,cc-pcvqz,-65.259876759499
CH3BH2,cc-pcvtz,-65.25555163593
H2O,def2-qzvpp,-75.911707996983
CrCO6,pc-4,-1717.576036840886
H2O,pc-3,-75.913119147041
H2O,zora-def2-qzvpp,-75.911678225407
CO2,cc-pvdz,-187.194645240609
CH3BH2,cc-pvqz,-65.25870095216
CH3BH2,pc-3,-65.260799052618
CH3BH2,cc-pvdz,-65.221733335801
PH2OH,def2-svp,-416.377191022302
CH3BH2,zora-def2-svp,-65.181194598406
CrCO6,cc-pvtz,-1717.491322926648
PH2OH,cc-pvtz,-416.603043032775
CH3BH2,cc-pv5z,-65.260613300691
CH3BH2,cc-pcvdz,-65.226998981334
CrCO6,cc-pcvqz,
PH2OH,def2-tzvp,-416.604120759925
CH3BH2,zora-def2-tzvp,-65.254440935262
CO2,cc-pcvdz,-187.204042914235
H2O,cc-pvdz,-75.854689171383
CO2,pc-1,-187.158823430161
H2O,cc-pcvtz,-75.899508181194
H2O,cc-pvqz,-75.908212828437
PH2OH,zora-def2-svp,-416.383434866447
PH2OH,zora-def2-qzvpp,-416.626743899086
H2O,cc-pcvdz,-75.858174540872
H2O,pc-2,-75.906481712501
CrCO6,def2-qzvpp,-1717.562076746459
CrCO6,cc-pcvdz,
PH2OH,cc-pcvqz,-416.627912575356
PH2OH,cc-pv5z,-416.626561682268
PH2OH,zora-def2-tzvp,-416.604243875456
CO2,def2-qzvpp,-187.284969959405
PH2OH,pc-1,-416.537023021422
PH2OH,pc-4,-416.629461018632
CO2,pc-4,-187.28689989586
CO2,zora-def2-qzvpp,-187.284923672028
CrCO6,zora-def2-qzvpp,-1717.536270789055
CO2,cc-pvqz,-187.280636616123
CrCO6,pc-3,-1717.574109098187
PH2OH,pc-2,-416.617013543433
CrCO6,cc-pcvtz,
H2O,cc-pcv5z,-75.912511769116
CO2,cc-pcvtz,-187.269102171578
CH3BH2,def2-tzvp,-65.252599176926
CH3BH2,pc-2,-65.255713757935
