Complex,EnergyComplex,EnergyFragment1,EnergyFragment2,ReactionEnergy,Relativity,TransitionMetal,Ligand,MWPrecision
Cr(CO)5-Alkene1,-1699.852816522502,-1621.2545266568482,-78.55807772479554,-0.040212140858358225,ZORA,Cr,Alkene1,1e-06
Cr(CO)5-Alkene1,-1689.2784808411043,-1610.7302490653506,-78.50841714135623,-0.039814634397487225,None,Cr,Alkene1,1e-06
Cr(CO)5-MeOH,-1737.0363648010077,-1621.2545266568482,-115.75292944968432,-0.028908694475248353,ZORA,Cr,MeOH,1e-06
Cr(CO)5-MeOH,-1726.4016820927457,-1610.7302490653506,-115.6424945667542,-0.028938460640901553,None,Cr,MeOH,1e-06
Cr(CO)5-THF,-1853.7298139615036,-1621.2545266568482,-232.4443151480577,-0.03097215659775543,ZORA,Cr,THF,1e-06
Cr(CO)5-THF,-1843.020882568614,-1610.7302490653506,-232.25949103842677,-0.031142464836733552,None,Cr,THF,1e-06
Fe-Pincer-MeOH,-3063.948578436527,-2948.172430644131,-115.75292944968432,-0.02321834271161549,ZORA,Fe,MeOH,1e-06
Fe-Pincer-MeOH,-3046.4330393510727,-2930.7674981759073,-115.6424945667542,-0.023046608411149805,None,Fe,MeOH,1e-06
Ni(CO)3-Alkene1,-1946.2117845435523,-1867.625855950513,-78.55807772479554,-0.02785086824385985,ZORA,Ni,Alkene1,1e-06
Ni(CO)3-Alkene1,-1926.57949753104,-1848.0450602825247,-78.50841714135623,-0.026020107159126837,None,Ni,Alkene1,1e-06
Ni(CO)3-MeOH,-1983.389915683906,-1867.625855950513,-115.75292944968432,-0.011130283708880029,ZORA,Ni,MeOH,1e-06
Ni(CO)3-MeOH,-1963.6989469225464,-1848.0450602825247,-115.6424945667542,-0.011392073267515457,None,Ni,MeOH,1e-06
Ni(CO)3-NHC1,-2172.4556314670435,-1867.625855950513,-304.7697883256327,-0.05998719089791393,ZORA,Ni,NHC1,1e-06
Ni(CO)3-NHC1,-2152.6524686086914,-1848.0450602825247,-304.54911000018296,-0.05829832598374196,None,Ni,NHC1,1e-06
Ni(CO)3-THF,-2100.0827182730454,-1867.625855950513,-232.4443151480577,-0.012547174474804024,ZORA,Ni,THF,1e-06
Ni(CO)3-THF,-2080.3174519983245,-1848.0450602825247,-232.25949103842677,-0.01290067737303957,None,Ni,THF,1e-06
